CustomerID,tenure,Contract,MonthlyCharges,TotalCharges,SeniorCitizen,Partner,Dependents,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,PaperlessBilling,PaymentMethod,SatisfactionScore,SupportCallsLast6Months,Data_Usage_Drop_Rate,Call_Drop_Rate,Slow_Speed_Days,Unresolved_Complaints,Churn
CUST1049,14,One year,42.43,585.11,1,Yes,Yes,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No,Bank transfer,3,2,0.26,0.028,0,0,0
CUST1050,44,One year,80.54,3414.48,0,No,No,Yes,No,DSL,Yes,No,Yes,No,Yes,Yes,No,Mailed check,1,0,0.47,0.025,8,0,1
CUST1051,55,One year,51.86,2725.05,0,Yes,No,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No,Credit card,3,0,0.38,0.002,1,0,0
CUST1052,33,One year,103.42,3489.38,1,No,Yes,Yes,No,Fiber optic,No,No,No,Yes,No,Yes,Yes,Electronic check,3,2,0.28,0.005,0,0,0
CUST1053,22,Two year,95.2,2159.71,1,No,Yes,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,No,Yes,Bank transfer,3,2,0.32,0.076,1,0,1
CUST1054,10,Month-to-month,49.73,454.85,0,No,No,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No,Credit card,5,1,0.17,0.019,5,0,0
CUST1055,36,Two year,80.84,2995.15,0,Yes,No,Yes,No,DSL,Yes,No,No,No,No,No,Yes,Bank transfer,3,3,0.69,0.013,3,1,0
CUST1056,11,Two year,48.36,493.38,1,No,No,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Yes,Mailed check,4,2,0.02,0.025,2,0,1
CUST1057,13,Two year,21.67,272.29,0,No,No,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No,Credit card,2,1,0.84,0.028,18,0,1
CUST1058,72,One year,42.92,2888.39,0,No,No,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Yes,Bank transfer,3,1,0.07,0.009,3,0,0
CUST1059,18,Month-to-month,80.42,1464.65,0,Yes,No,Yes,No,DSL,Yes,Yes,No,Yes,Yes,Yes,No,Bank transfer,2,1,0.58,0.027,13,0,1
CUST1060,58,Month-to-month,59.69,3262.39,0,No,No,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No,Mailed check,2,1,0.64,0.039,12,0,0
CUST1061,18,One year,69.44,1175.21,0,No,Yes,Yes,No,DSL,No,No,Yes,No,Yes,No,No,Credit card,3,0,0.02,0.02,1,0,0
CUST1062,41,Month-to-month,44.11,1699.49,0,Yes,Yes,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Yes,Bank transfer,1,0,0.52,0.033,23,0,0
CUST1063,68,One year,70.83,4095.48,0,Yes,Yes,Yes,No,DSL,Yes,No,No,No,No,No,No,Bank transfer,3,2,0.07,0.027,4,0,0
CUST1064,65,Two year,15.32,1003.47,0,Yes,No,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Yes,Electronic check,3,2,0.25,0.031,5,0,0
CUST1065,18,Month-to-month,88.99,1374.97,0,Yes,No,Yes,No,Fiber optic,No,No,Yes,No,No,Yes,Yes,Bank transfer,5,1,0.39,0.01,5,0,0
CUST1066,43,One year,58.49,2354.41,0,Yes,No,No,No phone service,DSL,No,Yes,No,No,No,Yes,Yes,Bank transfer,5,0,0.11,0.004,2,0,0
CUST1067,40,One year,38.7,1513.78,0,Yes,No,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No,Credit card,4,0,0.26,0.016,4,0,0
CUST1068,19,Two year,52.1,975.86,1,Yes,No,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Yes,Credit card,5,1,0.3,0.023,4,0,0
CUST1069,41,Two year,89.0,3200.7,0,Yes,Yes,Yes,No,Fiber optic,Yes,No,No,Yes,No,No,No,Mailed check,1,0,0.72,0.139,16,0,0
CUST1070,38,One year,76.72,2658.39,0,No,Yes,Yes,Yes,DSL,No,Yes,No,No,No,No,No,Mailed check,5,2,0.21,0.031,4,0,0
CUST1071,41,Two year,71.08,2571.54,0,No,Yes,Yes,No,DSL,No,No,Yes,No,No,No,Yes,Credit card,5,0,0.37,0.021,2,0,0
CUST1072,71,One year,66.62,4917.85,0,Yes,No,Yes,No,DSL,Yes,No,No,No,No,Yes,No,Bank transfer,4,1,0.08,0.023,4,0,0
CUST1073,64,Two year,53.77,3033.89,0,Yes,Yes,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Yes,Bank transfer,3,1,0.13,0.006,5,0,0
CUST1074,52,Month-to-month,106.55,5056.04,0,Yes,Yes,Yes,Yes,Fiber optic,No,No,No,Yes,No,Yes,Yes,Electronic check,4,1,0.2,0.012,0,0,1
CUST1075,51,Two year,100.28,4721.44,0,Yes,Yes,Yes,No,Fiber optic,No,No,No,No,No,No,No,Mailed check,3,2,0.08,0.003,4,0,0
CUST1076,16,Month-to-month,77.98,1283.4,0,No,No,Yes,Yes,DSL,No,No,Yes,Yes,No,No,Yes,Credit card,2,4,0.54,0.016,15,3,1
CUST1077,69,One year,57.98,4098.31,0,Yes,No,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Yes,Bank transfer,3,2,0.1,0.026,4,0,0
CUST1078,22,Two year,15.38,308.83,1,No,Yes,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Yes,Credit card,2,2,0.58,0.031,21,0,0
CUST1079,8,Two year,70.29,532.42,0,No,No,Yes,No,DSL,No,No,No,No,No,No,No,Mailed check,5,1,0.12,0.038,2,0,0
CUST1080,63,One year,104.11,5678.76,0,No,No,Yes,No,Fiber optic,No,No,No,No,No,Yes,Yes,Bank transfer,5,2,0.29,0.033,2,0,0
CUST1081,35,Month-to-month,83.14,3017.58,0,No,No,Yes,Yes,DSL,No,No,Yes,No,Yes,No,No,Mailed check,4,1,0.08,0.039,2,0,0
CUST1082,30,Two year,37.94,1080.24,0,Yes,No,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No,Electronic check,5,5,0.82,0.035,0,0,0
CUST1083,43,One year,98.49,3763.42,0,Yes,No,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,Yes,Credit card,3,2,0.16,0.013,3,0,1
CUST1084,42,Month-to-month,78.72,3420.71,0,Yes,Yes,Yes,No,DSL,No,Yes,No,Yes,No,No,Yes,Bank transfer,4,3,0.71,0.026,2,0,1
CUST1085,18,One year,73.93,1318.43,0,No,No,Yes,No,DSL,No,No,Yes,Yes,No,No,Yes,Credit card,1,2,0.43,0.022,22,0,1
CUST1086,67,One year,80.09,4564.36,0,No,No,Yes,Yes,DSL,Yes,No,No,No,No,Yes,Yes,Mailed check,2,0,0.59,0.028,23,0,0
CUST1087,9,One year,63.65,562.74,0,No,No,No,No phone service,DSL,No,No,No,No,No,No,Yes,Bank transfer,3,2,0.14,0.007,4,0,0
CUST1088,1,Month-to-month,110.32,113.27,0,No,No,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,Yes,Credit card,1,0,0.45,0.024,7,0,1
CUST1089,6,One year,102.53,644.18,0,No,No,Yes,No,Fiber optic,Yes,No,No,No,No,No,Yes,Mailed check,3,1,0.11,0.024,5,0,1
CUST1090,64,Month-to-month,106.25,7096.19,0,Yes,No,Yes,Yes,Fiber optic,No,No,No,No,No,No,No,Credit card,3,0,0.09,0.026,3,0,0
CUST1091,12,Two year,51.75,611.24,1,Yes,No,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No,Mailed check,2,0,0.81,0.012,6,0,0
CUST1092,62,Month-to-month,36.17,2067.46,0,Yes,No,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No,Mailed check,4,1,0.31,0.029,2,0,0
CUST1093,48,One year,98.09,4646.97,0,Yes,Yes,Yes,No,Fiber optic,No,No,Yes,No,Yes,No,Yes,Electronic check,2,3,0.83,0.104,11,2,1
CUST1094,70,Two year,87.75,6368.43,0,Yes,No,Yes,Yes,DSL,Yes,No,Yes,Yes,Yes,No,Yes,Electronic check,5,2,0.01,0.021,3,0,0
CUST1095,68,Two year,92.94,5843.46,1,No,No,Yes,No,Fiber optic,Yes,Yes,Yes,Yes,No,No,Yes,Bank transfer,3,2,0.39,0.027,0,0,0
CUST1096,12,One year,89.23,1096.05,0,Yes,Yes,Yes,No,Fiber optic,No,No,No,No,Yes,No,Yes,Credit card,4,1,0.02,0.037,4,0,0
CUST1097,5,Month-to-month,110.11,483.38,0,No,No,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,No,No,Yes,Electronic check,5,2,0.2,0.056,3,0,1
CUST1098,51,One year,80.36,3795.08,0,Yes,Yes,Yes,Yes,DSL,Yes,No,No,No,Yes,Yes,Yes,Bank transfer,4,0,0.15,0.014,0,0,1
CUST1099,40,One year,93.28,3752.97,1,Yes,No,Yes,No,Fiber optic,Yes,Yes,No,No,No,No,Yes,Bank transfer,4,2,0.39,0.021,5,0,0
CUST1100,64,Month-to-month,81.64,5089.31,0,Yes,No,Yes,Yes,DSL,Yes,No,No,Yes,Yes,Yes,No,Mailed check,4,1,0.13,0.033,5,0,0
CUST1101,18,One year,103.64,1660.24,0,Yes,No,Yes,No,Fiber optic,No,No,No,No,Yes,No,Yes,Mailed check,5,0,0.3,0.029,5,0,0
CUST1102,9,One year,38.98,340.15,1,Yes,Yes,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Yes,Credit card,3,1,0.36,0.035,3,0,0
CUST1103,47,Two year,42.9,1974.66,1,Yes,No,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Yes,Electronic check,5,1,0.31,0.004,0,0,0
CUST1104,29,One year,91.86,2682.2,0,No,No,Yes,No,Fiber optic,No,Yes,No,Yes,No,No,Yes,Credit card,3,1,0.04,0.1,0,0,0
CUST1105,15,Month-to-month,103.64,1330.49,0,Yes,No,Yes,Yes,Fiber optic,Yes,No,No,Yes,No,Yes,No,Electronic check,3,0,0.23,0.028,1,0,0
CUST1106,14,Two year,81.27,1127.76,0,Yes,Yes,Yes,No,DSL,No,No,No,No,Yes,No,No,Bank transfer,2,2,0.44,0.005,9,0,1
CUST1107,15,Month-to-month,101.29,1428.49,0,Yes,Yes,Yes,Yes,Fiber optic,No,No,No,No,No,No,Yes,Mailed check,1,1,0.4,0.033,23,0,1
CUST1108,54,Two year,106.45,5194.04,0,No,No,Yes,Yes,Fiber optic,Yes,Yes,No,No,No,No,Yes,Credit card,3,5,0.64,0.134,3,2,1
CUST1109,32,One year,87.32,2813.72,0,No,Yes,Yes,Yes,DSL,No,Yes,No,No,No,No,Yes,Credit card,4,3,0.66,0.021,4,2,1
CUST1110,66,Two year,63.52,3973.87,0,No,No,No,No phone service,DSL,No,Yes,No,Yes,No,No,No,Mailed check,3,1,0.16,0.018,5,0,0
CUST1111,12,One year,46.94,489.28,0,No,No,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No,Bank transfer,5,2,0.27,0.034,4,0,0
CUST1112,64,One year,103.83,5649.25,0,No,No,Yes,Yes,Fiber optic,No,Yes,Yes,No,No,Yes,No,Bank transfer,5,0,0.27,0.026,1,0,0
CUST1113,36,Month-to-month,53.99,1743.11,0,Yes,No,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Yes,Bank transfer,4,2,0.0,0.019,1,0,0
CUST1114,2,Two year,97.66,204.81,0,Yes,Yes,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,No,No,Electronic check,2,1,0.4,0.098,12,0,1
CUST1115,20,One year,49.26,899.39,0,Yes,Yes,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Yes,Credit card,2,1,0.44,0.022,15,0,0
CUST1116,39,Month-to-month,32.25,1194.76,0,Yes,Yes,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Yes,Mailed check,3,1,0.38,0.039,2,0,0
CUST1117,54,One year,40.8,1899.36,0,No,No,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Yes,Mailed check,4,1,0.25,0.02,3,0,0
CUST1118,69,Two year,58.75,4218.68,1,Yes,No,No,No phone service,DSL,Yes,Yes,No,No,No,No,Yes,Bank transfer,2,0,0.82,0.005,7,0,0
CUST1119,23,Month-to-month,65.59,1525.8,0,Yes,No,Yes,No,DSL,No,Yes,Yes,No,Yes,No,No,Mailed check,2,0,0.72,0.023,8,0,1
CUST1120,22,One year,84.21,1587.83,0,No,No,Yes,No,DSL,Yes,No,Yes,Yes,Yes,No,Yes,Bank transfer,4,2,0.26,0.009,1,0,0
CUST1121,41,One year,74.13,2807.68,1,No,Yes,Yes,No,DSL,Yes,No,No,No,No,Yes,Yes,Bank transfer,2,3,0.73,0.01,17,2,1
CUST1122,70,Month-to-month,84.66,5534.85,0,Yes,No,Yes,No,DSL,Yes,Yes,No,No,No,Yes,Yes,Electronic check,5,5,0.46,0.011,0,3,1
CUST1123,48,One year,43.25,1818.87,0,No,No,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Yes,Electronic check,2,3,0.82,0.016,16,0,1
CUST1124,14,Month-to-month,77.07,963.53,0,Yes,Yes,Yes,No,DSL,No,No,No,Yes,No,Yes,No,Mailed check,4,0,0.28,0.039,3,0,0
CUST1125,39,One year,83.01,3196.14,0,No,No,Yes,Yes,DSL,Yes,No,Yes,Yes,No,Yes,Yes,Electronic check,5,0,0.23,0.037,0,0,0
CUST1126,57,Month-to-month,55.5,2971.17,1,No,Yes,No,No phone service,DSL,No,No,No,No,No,Yes,No,Bank transfer,2,2,0.68,0.026,21,0,1
CUST1127,71,One year,74.69,5475.52,0,Yes,Yes,Yes,No,DSL,No,No,No,No,No,Yes,Yes,Electronic check,3,1,0.07,0.013,1,0,0
CUST1128,61,Two year,101.78,6326.82,0,Yes,No,Yes,No,Fiber optic,No,Yes,No,Yes,No,No,Yes,Mailed check,2,2,0.76,0.151,6,0,0
CUST1129,46,Two year,39.81,1589.63,0,Yes,No,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Yes,Mailed check,2,0,0.64,0.0,12,0,0
CUST1130,42,Month-to-month,68.15,2976.04,0,No,No,Yes,No,DSL,No,No,No,No,Yes,Yes,Yes,Mailed check,4,5,0.69,0.007,4,3,1
CUST1131,29,Two year,51.46,1522.41,0,No,Yes,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No,Mailed check,4,2,0.07,0.013,4,0,0
CUST1132,19,One year,52.78,1030.23,0,No,Yes,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No,Electronic check,3,1,0.1,0.003,2,0,0
CUST1133,1,Month-to-month,96.47,98.32,0,No,No,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,Yes,Credit card,2,1,0.83,0.007,18,0,1
CUST1134,12,One year,36.62,459.16,0,Yes,No,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Yes,Credit card,3,2,0.36,0.022,5,0,1
CUST1135,31,Month-to-month,66.64,2104.58,0,No,Yes,Yes,No,DSL,No,No,No,Yes,Yes,Yes,Yes,Credit card,3,1,0.19,0.026,0,0,0
CUST1136,49,One year,69.55,2938.32,1,Yes,Yes,Yes,No,DSL,Yes,No,Yes,No,No,No,No,Credit card,3,1,0.38,0.027,3,0,0
CUST1137,31,One year,89.24,2458.11,0,No,Yes,Yes,No,Fiber optic,No,No,Yes,No,No,No,Yes,Electronic check,1,0,0.71,0.033,10,0,0
CUST1138,9,Month-to-month,81.65,766.42,0,No,No,No,No phone service,Fiber optic,Yes,No,No,No,Yes,Yes,Yes,Credit card,1,0,0.75,0.145,17,0,1
CUST1139,34,One year,38.03,1201.42,0,Yes,Yes,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No,Credit card,4,2,0.02,0.019,2,0,0
CUST1140,39,One year,113.27,4114.64,0,No,No,Yes,Yes,Fiber optic,No,No,Yes,No,No,Yes,Yes,Credit card,3,1,0.15,0.032,0,0,0
CUST1141,65,One year,88.62,5174.98,0,No,Yes,Yes,Yes,DSL,Yes,No,Yes,No,No,No,No,Electronic check,3,1,0.37,0.019,4,0,0
CUST1142,12,One year,84.48,888.52,1,No,No,Yes,Yes,DSL,Yes,Yes,No,No,No,No,No,Credit card,2,3,0.5,0.024,15,3,1
CUST1143,55,One year,100.97,4840.42,0,Yes,No,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,No,No,Credit card,1,5,0.69,0.079,15,0,1
CUST1144,52,Two year,105.69,5534.24,0,No,No,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,Yes,Mailed check,5,2,0.2,0.142,4,0,0
CUST1145,13,One year,57.43,722.04,0,No,No,No,No phone service,DSL,No,No,Yes,Yes,No,No,No,Bank transfer,3,0,0.02,0.025,4,0,0
CUST1146,65,Month-to-month,49.74,3325.47,0,Yes,No,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Yes,Credit card,5,0,0.34,0.007,0,0,0
CUST1147,23,One year,45.27,903.36,1,Yes,No,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Yes,Electronic check,3,2,0.16,0.039,3,0,0
CUST1148,2,One year,32.05,60.94,1,Yes,No,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Yes,Mailed check,3,0,0.02,0.038,3,0,0
CUST1149,68,One year,88.38,5549.0,0,No,No,Yes,No,Fiber optic,No,No,Yes,No,Yes,No,Yes,Mailed check,4,0,0.34,0.021,0,0,0
CUST1150,3,Month-to-month,52.61,143.66,0,Yes,No,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No,Electronic check,4,2,0.11,0.024,1,0,1
CUST1151,14,Two year,49.46,638.14,0,No,No,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No,Electronic check,3,0,0.21,0.036,5,0,1
CUST1152,12,Month-to-month,44.62,561.0,1,Yes,No,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Yes,Credit card,2,1,0.44,0.007,7,0,0
CUST1153,47,Two year,101.3,4221.07,0,Yes,No,Yes,No,Fiber optic,No,Yes,No,No,No,No,Yes,Credit card,3,5,0.52,0.034,3,1,1
CUST1154,21,Month-to-month,103.23,1862.59,0,No,Yes,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,No,Yes,Credit card,2,1,0.72,0.134,24,0,1
CUST1155,29,Two year,94.39,2598.16,0,No,No,Yes,No,Fiber optic,Yes,No,No,No,Yes,No,Yes,Electronic check,2,3,0.54,0.011,22,0,1
